화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
더드림병원,N,0,09:00~18:00,더드림병원,2,0,032-282-7575,인천광역시 계양구 작전동 852-40,3,개방화장실,2,126.722241,0,인천광역시 계양구 계양대로 123(작전동 더드림병원),0,0,37.535213,0,18-Apr,2018-02-21
KT&G북인천지사,N,0,08:00~20:00,KT&G북인천지사,3,0,032-543-1497,인천광역시 계양구 계산동 935-6,12,개방화장실,9,126.722241,0,인천광역시 계양구 경명대로 1011,0,0,37.535213,0,18-May,2018-02-21
장원빌딩,N,0,08:00~20:00,장원빌딩,2,0,032-548-0915,인천광역시 계양구 병방동 119-1,2,개방화장실,3,126.727941,0,인천광역시 계양구 장제로 916,0,0,37.541064,0,18-Aug,2018-02-21
맘모스타운,N,0,24시간,맘모스타운,3,0,032-543-7828,인천광역시 계양구 작전동 907-2,4,개방화장실,4,126.735562,0,인천광역시 계양구 도두리로 14(작전동맘모스타운),0,0,37.533686,0,18-Jun,2018-02-21
자이빌딩,N,0,08:00~21:00,자이빌딩,1,0,032-554-8888,인천광역시 계양구 계산동 917-14,2,개방화장실,2,126.733823,0,인천광역시 계양구 경명대로 1139(계산동자이빌딩),0,0,37.543548,0,18-Jun,2018-02-21
이마트 계양점,N,2,09:30~24:00,이마트 계양점,3,0,032-717-1120,인천광역시 계양구 작전동 911-1,6,개방화장실,3,126.736863,0,인천광역시 계양구 봉오대로 785(작전동이마트),0,0,37.531235,2,18-Jun,2018-02-21
계산프라자,N,0,06:00~23:00,계산프라자,3,0,032-544-9419,인천광역시 계양구 계산동 1086-2,3,개방화장실,4,126.741519,0,인천광역시 계양구 용종로 2(계산동계산프라자),0,0,37.534039,0,18-Mar,2018-02-21
영화빌딩,N,0,09:30~23:00,영화빌딩,1,0,032-555-2711,인천광역시 계양구 작전동 863-3,2,개방화장실,2,126.723008,0,인천광역시 계양구 계양대로 94(작전동영화빌딩),0,0,37.532288,0,18-Mar,2018-02-21
홈플러스 계산점,N,0,09:00~24:00,홈플러스 계산점,2,0,032-556-6409,인천광역시 계양구 계산동 1061,2,개방화장실,2,126.736155,0,인천광역시 계양구 오조산공원로 14(계산동홈플러스),0,0,37.539676,0,18-Mar,2018-02-21
영프라자,N,0,09:00~22:00,영프라자,2,0,032-553-5595,인천광역시 계양구 작전동 900-1,2,개방화장실,2,126.734253,0,인천광역시 계양구 장제로 728(작전동영프라자),0,0,37.532974,0,18-Apr,2018-02-21
홈플러스 작전점,N,1,09:00~24:00,홈플러스 작전점,3,0,032-540-8030,인천광역시 계양구 작전동 448-7,6,개방화장실,3,126.721283,0,인천광역시 계양구 계양대로 27(작전동홈플러스),0,0,37.526382,1,18-Apr,2018-02-21
롯데마트 계양점,N,1,10:00~24:00,롯데마트 계양점,2,0,032-550-2521,인천광역시 계양구 계산동 1059-1,8,개방화장실,3,126.735978,0,인천광역시 계양구 장제로 822(계산동롯데마트),0,0,37.540945,1,18-Oct,2018-02-21
에이스타운,N,0,10:00~24:00,에이스타운,3,0,032-554-5157,인천광역시 계양구 계산동 944,4,개방화장실,3,126.723035,0,인천광역시 계양구 계양대로 214(계산동에이스타운),0,0,37.543202,0,18-Feb,2018-02-21
농협하나로클럽 인천점,N,1,09:30~23:00,농협하나로클럽 인천점,3,0,032-500-9071,인천광역시 계양구 작전동 286-2,6,개방화장실,3,126.730484,0,인천광역시 계양구 아나지로 341(작전동농협하나로클럽),0,0,37.526288,1,18-Mar,2018-02-21
라이즈빌,N,1,06:00~24:00,라이즈빌,3,0,032-547-3546,인천광역시 계양구 계산동 1082-7,6,개방화장실,4,126.736736,0,인천광역시 계양구 계양문화로 44(계산동라이즈빌),0,0,37.534765,1,18-Mar,2018-02-21
세종팰리스,N,1,24시간,세종팰리스,1,0,032-556-0355,인천광역시 계양구 작전동 901-3,1,개방화장실,2,126.734223,0,인천광역시 계양구 장제로 714(작전동세종팰리스),0,0,37.531545,1,18-May,2018-02-21
한림병원,N,1,24시간,한림병원,6,0,032-550-9503,인천광역시 계양구 작전동 900-4,8,개방화장실,9,126.734341,0,인천광역시 계양구 장제로 722(작전동한림병원),0,0,37.532427,1,18-May,2018-02-21
노블빌딩,N,1,월~토8:00~20:00일요일 개방안함,노블빌딩,1,0,032-437-9393,인천광역시 계양구 효성동 246-6,1,개방화장실,2,126.711392,0,인천광역시 계양구 안남로 512(효성동 노블빌딩),0,0,37.528925,1,18-Apr,2018-02-21
삼환1빌딩,N,0,08:00~22:00,삼환1빌딩,1,0,032-553-2998,인천광역시 계양구 계산동 945-3,1,개방화장실,1,126.726215,0,인천광역시 계양구 경명대로 1074(계산동 삼환1빌딩),0,0,37.543311,0,18-Apr,2018-02-21
정우빌딩,N,0,07:00~22:00,정우빌딩,1,0,032-553-6880,인천광역시 계양구 계산동 948-2,1,개방화장실,1,126.727941,0,인천광역시 계양구 주부토로 525(계산동 정우빌딩),0,0,37.541064,0,18-Apr,2018-02-21
더드림병원,N,0,09:00~18:00,더드림병원,2,0,032-282-7575,인천광역시 계양구 작전동 852-40,3,개방화장실,2,126.722241,0,인천광역시 계양구 계양대로 123(작전동 더드림병원),0,0,37.535213,0,18-Apr,2018-02-21
KT&G북인천지사,N,0,08:00~20:00,KT&G북인천지사,3,0,032-543-1497,인천광역시 계양구 계산동 935-6,12,개방화장실,9,126.722241,0,인천광역시 계양구 경명대로 1011,0,0,37.535213,0,18-May,2018-02-21
장원빌딩,N,0,08:00~20:00,장원빌딩,2,0,032-548-0915,인천광역시 계양구 병방동 119-1,2,개방화장실,3,126.727941,0,인천광역시 계양구 장제로 916,0,0,37.541064,0,18-Aug,2018-02-21
